Nodes,ID,Label,ColorOfNodes
ABpl,1,ABpl,"239,187,60"
ABpla,2,ABpla,"239,187,60"
ABplap,3,ABplap,"239,187,60"
ABplapa,4,ABplapa,"239,187,60"
ABplapaa,5,ABplapaa,"239,187,60"
ABplapap,6,ABplapap,"239,187,60"
ABplapp,7,ABplapp,"239,187,60"
ABplappp,8,ABplappp,"239,187,60"
ABplappa,9,ABplappa,"239,187,60"
ABplaa,10,ABplaa,"239,187,60"
ABplaaa,11,ABplaaa,"239,187,60"
ABplaaap,12,ABplaaap,"239,187,60"
ABplaaaa,13,ABplaaaa,"239,187,60"
ABplaap,14,ABplaap,"239,187,60"
ABplaapa,15,ABplaapa,"239,187,60"
ABplaapp,16,ABplaapp,"239,187,60"
ABplp,17,ABplp,"239,187,60"
ABplpp,18,ABplpp,"239,187,60"
ABplppa,19,ABplppa,"239,187,60"
ABplppaa,20,ABplppaa,"239,187,60"
ABplppap,21,ABplppap,"239,187,60"
ABplppp,22,ABplppp,"239,187,60"
ABplpppa,23,ABplpppa,"239,187,60"
ABplpppp,24,ABplpppp,"239,187,60"
ABplpa,25,ABplpa,"239,187,60"
ABplpaa,26,ABplpaa,"239,187,60"
ABplpaaa,27,ABplpaaa,"239,187,60"
ABplpaap,28,ABplpaap,"239,187,60"
ABplpap,29,ABplpap,"239,187,60"
ABplpapa,30,ABplpapa,"239,187,60"
ABplpapp,31,ABplpapp,"239,187,60"
ABpr,32,ABpr,"239,187,60"
ABprp,33,ABprp,"239,187,60"
ABprpa,34,ABprpa,"239,187,60"
ABprpaa,35,ABprpaa,"239,187,60"
ABprpaaa,36,ABprpaaa,"239,187,60"
ABprpaap,37,ABprpaap,"239,187,60"
ABprpap,38,ABprpap,"239,187,60"
ABprpapa,39,ABprpapa,"239,187,60"
ABprpapp,40,ABprpapp,"239,187,60"
ABprpp,41,ABprpp,"239,187,60"
ABprppa,42,ABprppa,"239,187,60"
ABprppaa,43,ABprppaa,"239,187,60"
ABprppap,44,ABprppap,"239,187,60"
ABprppp,45,ABprppp,"239,187,60"
ABprpppa,46,ABprpppa,"239,187,60"
ABprpppp,47,ABprpppp,"239,187,60"
ABpra,48,ABpra,"239,187,60"
ABprap,49,ABprap,"239,187,60"
ABprapp,50,ABprapp,"239,187,60"
ABprappp,51,ABprappp,"239,187,60"
ABprappa,52,ABprappa,"239,187,60"
ABprapa,53,ABprapa,"239,187,60"
ABprapaa,54,ABprapaa,"239,187,60"
ABprapap,55,ABprapap,"239,187,60"
ABpraa,56,ABpraa,"239,187,60"
ABpraaa,57,ABpraaa,"239,187,60"
ABpraaaa,58,ABpraaaa,"239,187,60"
ABpraaap,59,ABpraaap,"239,187,60"
ABpraap,60,ABpraap,"239,187,60"
ABpraapa,61,ABpraapa,"239,187,60"
ABpraapp,62,ABpraapp,"239,187,60"
ABar,63,ABar,"239,187,60"
ABara,64,ABara,"239,187,60"
ABarap,65,ABarap,"239,187,60"
ABarapp,66,ABarapp,"239,187,60"
ABarappa,67,ABarappa,"239,187,60"
ABarappp,68,ABarappp,"239,187,60"
ABarapa,69,ABarapa,"239,187,60"
ABarapaa,70,ABarapaa,"239,187,60"
ABarapap,71,ABarapap,"239,187,60"
ABaraa,72,ABaraa,"239,187,60"
ABaraap,73,ABaraap,"239,187,60"
ABaraapp,74,ABaraapp,"239,187,60"
ABaraapa,75,ABaraapa,"239,187,60"
ABaraaa,76,ABaraaa,"239,187,60"
ABaraaaa,77,ABaraaaa,"239,187,60"
ABaraaap,78,ABaraaap,"239,187,60"
ABarp,79,ABarp,"239,187,60"
ABarpp,80,ABarpp,"239,187,60"
ABarppa,81,ABarppa,"239,187,60"
ABarppap,82,ABarppap,"239,187,60"
ABarppaa,83,ABarppaa,"239,187,60"
ABarppp,84,ABarppp,"239,187,60"
ABarpppa,85,ABarpppa,"239,187,60"
ABarpppp,86,ABarpppp,"239,187,60"
ABarpa,87,ABarpa,"239,187,60"
ABarpap,88,ABarpap,"239,187,60"
ABarpapa,89,ABarpapa,"239,187,60"
ABarpapp,90,ABarpapp,"239,187,60"
ABarpaa,91,ABarpaa,"239,187,60"
ABarpaaa,92,ABarpaaa,"239,187,60"
ABarpaap,93,ABarpaap,"239,187,60"
ABal,94,ABal,"239,187,60"
ABala,95,ABala,"239,187,60"
ABalaa,96,ABalaa,"239,187,60"
ABalaaa,97,ABalaaa,"239,187,60"
ABalaaaa,98,ABalaaaa,"239,187,60"
ABalaaap,99,ABalaaap,"239,187,60"
ABalaap,100,ABalaap,"239,187,60"
ABalaapa,101,ABalaapa,"239,187,60"
ABalaapp,102,ABalaapp,"239,187,60"
ABalap,103,ABalap,"239,187,60"
ABalapa,104,ABalapa,"239,187,60"
ABalapap,105,ABalapap,"239,187,60"
ABalapaa,106,ABalapaa,"239,187,60"
ABalapp,107,ABalapp,"239,187,60"
Abalappa,108,Abalappa,"239,187,60"
ABalappp,109,ABalappp,"239,187,60"
ABalp,110,ABalp,"239,187,60"
ABalpp,111,ABalpp,"239,187,60"
ABalppa,112,ABalppa,"239,187,60"
ABalppaa,113,ABalppaa,"239,187,60"
ABalppap,114,ABalppap,"239,187,60"
ABalppp,115,ABalppp,"239,187,60"
ABalpppa,116,ABalpppa,"239,187,60"
ABalpppp,117,ABalpppp,"239,187,60"
ABalpa,118,ABalpa,"239,187,60"
ABalpaa,119,ABalpaa,"239,187,60"
ABalpaaa,120,ABalpaaa,"239,187,60"
ABalpaap,121,ABalpaap,"239,187,60"
ABalpap,122,ABalpap,"239,187,60"
ABalpapa,123,ABalpapa,"239,187,60"
ABalpapp,124,ABalpapp,"239,187,60"
MS,125,MS,"158,99,170"
MSp,126,MSp,"158,99,170"
MSpp,127,MSpp,"158,99,170"
MSppp,128,MSppp,"158,99,170"
MSpppa,129,MSpppa,"158,99,170"
MSpppp,130,MSpppp,"158,99,170"
MSppa,131,MSppa,"158,99,170"
MSppaa,132,MSppaa,"158,99,170"
MSppap,133,MSppap,"158,99,170"
MSpa,134,MSpa,"158,99,170"
MSpaa,135,MSpaa,"158,99,170"
MSpaap,136,MSpaap,"158,99,170"
MSpaaa,137,MSpaaa,"158,99,170"
MSpap,138,MSpap,"158,99,170"
MSpapp,139,MSpapp,"158,99,170"
MSpapa,140,MSpapa,"158,99,170"
MSa,141,MSa,"158,99,170"
MSap,142,MSap,"158,99,170"
MSapa,143,MSapa,"158,99,170"
MSapaa,144,MSapaa,"158,99,170"
MSapap,145,MSapap,"158,99,170"
MSapp,146,MSapp,"158,99,170"
MSappa,147,MSappa,"158,99,170"
MSappp,148,MSappp,"158,99,170"
MSaa,149,MSaa,"158,99,170"
MSaap,150,MSaap,"158,99,170"
MSaapp,151,MSaapp,"158,99,170"
MSaapa,152,MSaapa,"158,99,170"
MSaaa,153,MSaaa,"158,99,170"
MSaaap,154,MSaaap,"158,99,170"
MSaaaa,155,MSaaaa,"158,99,170"
E,156,E,"158,99,170"
Ea,157,Ea,"158,99,170"
Ear,158,Ear,"158,99,170"
Eara,159,Eara,"158,99,170"
Earaa,160,Earaa,"158,99,170"
Earap,161,Earap,"158,99,170"
Earp,162,Earp,"158,99,170"
Eal,163,Eal,"158,99,170"
Ealp,164,Ealp,"158,99,170"
Eala,165,Eala,"158,99,170"
Ealaa,166,Ealaa,"158,99,170"
Ealap,167,Ealap,"158,99,170"
Ep,168,Ep,"158,99,170"
Epr,169,Epr,"158,99,170"
Eprp,170,Eprp,"158,99,170"
Eprpa,171,Eprpa,"158,99,170"
Eprpp,172,Eprpp,"158,99,170"
Epra,173,Epra,"158,99,170"
Epraa,174,Epraa,"158,99,170"
Eprap,175,Eprap,"158,99,170"
Epl,176,Epl,"158,99,170"
Eplp,177,Eplp,"158,99,170"
Eplpa,178,Eplpa,"158,99,170"
Eplpp,179,Eplpp,"158,99,170"
Epla,180,Epla,"158,99,170"
C,181,C,"158,99,170"
Cp,182,Cp,"158,99,170"
Cpp,183,Cpp,"158,99,170"
Cppa,184,Cppa,"158,99,170"
Cppaa,185,Cppaa,"158,99,170"
Cppap,186,Cppap,"158,99,170"
Cppp,187,Cppp,"158,99,170"
Cpppa,188,Cpppa,"158,99,170"
Cpppp,189,Cpppp,"158,99,170"
Cpa,190,Cpa,"158,99,170"
Cpap,191,Cpap,"158,99,170"
Cpapp,192,Cpapp,"158,99,170"
Cpapa,193,Cpapa,"158,99,170"
Cpaa,194,Cpaa,"158,99,170"
Cpaaa,195,Cpaaa,"158,99,170"
Cpaap,196,Cpaap,"158,99,170"
Ca,197,Ca,"158,99,170"
Caa,198,Caa,"158,99,170"
Caap,199,Caap,"158,99,170"
Caaa,200,Caaa,"158,99,170"
Caaaa,201,Caaaa,"158,99,170"
Caaap,202,Caaap,"158,99,170"
Cap,203,Cap,"158,99,170"
Capp,204,Capp,"158,99,170"
Cappa,205,Cappa,"158,99,170"
Cappp,206,Cappp,"158,99,170"
Capa,207,Capa,"158,99,170"
P3,208,P3,"158,99,170"
P4,209,P4,"158,99,170"
D,210,D,"158,99,170"
Dp,211,Dp,"158,99,170"
Dpa,212,Dpa,"158,99,170"
Dpaa,213,Dpaa,"158,99,170"
Dpap,214,Dpap,"158,99,170"
Dpp,215,Dpp,"158,99,170"
Dppa,216,Dppa,"158,99,170"
Dppp,217,Dppp,"158,99,170"
Da,218,Da,"158,99,170"
Dap,219,Dap,"158,99,170"
Dapa,220,Dapa,"158,99,170"
Dapp,221,Dapp,"158,99,170"
Daa,222,Daa,"158,99,170"
Daaa,223,Daaa,"158,99,170"
Daap,224,Daap,"158,99,170"
